AJG Punchlist,Section
1162183369370567,1134367795571128
1162183369370561,1134367795571126
1162183369370563,1134367795571128
1161854664864243,1149505289698856
1161298893105353,1134975133741044
1156460975802771,
1159995537426425,
1161037901678339,
1160037422249193,
1159907257029281,1134367795571127
1158814517207601,
1158788384525465,
1158779176822559,
1158769531514593,
1157729194205008,
1157729194205006,
1156941871863305,1136596016319253
1156590408930791,1134975133741044
1155163123429419,
1155166701114345,
1156460975780772,1134367795571126
1154547183931049,
1156460975780769,1134975133741044
1156460975802774,1136596016319253
1155163123429417,
1154547183931041,
1156401406409685,1134975133741044
1156401406409681,
1154547183931033,
1155933470055349,1134367795571128
1155933470055347,
1156346328441889,
1154551763284057,1156733977602522
1155933470055354,
1155933470055356,
1155933470055367,
1155933470055370,1134367795571129
1155933470055352,1134367795571129
1155933470055364,1156733977602522
1155933470055373,
1155933470055376,
1155933470055379,
1155933470055345,
